"","Education","variable","value"
"153","Doctorate degree","X.35.000.to..37.499",52
"154","Less than 9th grade","X.37.500.to..39.999",65
"155","9th to 12th grade, no diploma","X.37.500.to..39.999",145
"156","High school graduate (includes equivalency)","X.37.500.to..39.999",1216
"157","Some college, no degree","X.37.500.to..39.999",732
"158","Associate degree","X.37.500.to..39.999",488
"159","Bachelor's degree","X.37.500.to..39.999",774
"160","Master's degree","X.37.500.to..39.999",254
"161","Professional degree","X.37.500.to..39.999",25
"162","Doctorate degree","X.37.500.to..39.999",32
"163","Less than 9th grade","X.40.000.to..42.499",135
"164","9th to 12th grade, no diploma","X.40.000.to..42.499",315
"165","High school graduate (includes equivalency)","X.40.000.to..42.499",2192
"166","Some college, no degree","X.40.000.to..42.499",1401
"167","Associate degree","X.40.000.to..42.499",950
"168","Bachelor's degree","X.40.000.to..42.499",1793
"169","Master's degree","X.40.000.to..42.499",639
"170","Professional degree","X.40.000.to..42.499",80
"171","Doctorate degree","X.40.000.to..42.499",91
"172","Less than 9th grade","X.42.500.to..44.999",28
"173","9th to 12th grade, no diploma","X.42.500.to..44.999",120
"174","High school graduate (includes equivalency)","X.42.500.to..44.999",747
"175","Some college, no degree","X.42.500.to..44.999",586
"176","Associate degree","X.42.500.to..44.999",396
"177","Bachelor's degree","X.42.500.to..44.999",701
"178","Master's degree","X.42.500.to..44.999",270
"179","Professional degree","X.42.500.to..44.999",23
"180","Doctorate degree","X.42.500.to..44.999",57
"181","Less than 9th grade","X.45.000.to..47.499",56
"182","9th to 12th grade, no diploma","X.45.000.to..47.499",164
"183","High school graduate (includes equivalency)","X.45.000.to..47.499",1293
"184","Some college, no degree","X.45.000.to..47.499",889
"185","Associate degree","X.45.000.to..47.499",741
"186","Bachelor's degree","X.45.000.to..47.499",1281
"187","Master's degree","X.45.000.to..47.499",526
"188","Professional degree","X.45.000.to..47.499",76
"189","Doctorate degree","X.45.000.to..47.499",69
"190","Less than 9th grade","X.47.500.to..49.999",41
"191","9th to 12th grade, no diploma","X.47.500.to..49.999",88
"192","High school graduate (includes equivalency)","X.47.500.to..49.999",822
"193","Some college, no degree","X.47.500.to..49.999",546
"194","Associate degree","X.47.500.to..49.999",368
"195","Bachelor's degree","X.47.500.to..49.999",761
"196","Master's degree","X.47.500.to..49.999",356
"197","Professional degree","X.47.500.to..49.999",30
"198","Doctorate degree","X.47.500.to..49.999",40
"199","Less than 9th grade","X.50.000.to..52.499",89
"200","9th to 12th grade, no diploma","X.50.000.to..52.499",230
"201","High school graduate (includes equivalency)","X.50.000.to..52.499",1707
"202","Some college, no degree","X.50.000.to..52.499",1004
"203","Associate degree","X.50.000.to..52.499",723
"204","Bachelor's degree","X.50.000.to..52.499",1721
"205","Master's degree","X.50.000.to..52.499",594
"206","Professional degree","X.50.000.to..52.499",105
"207","Doctorate degree","X.50.000.to..52.499",110
"208","Less than 9th grade","X.52.500.to..54.999",31
"209","9th to 12th grade, no diploma","X.52.500.to..54.999",83
"210","High school graduate (includes equivalency)","X.52.500.to..54.999",621
"211","Some college, no degree","X.52.500.to..54.999",423
"212","Associate degree","X.52.500.to..54.999",252
"213","Bachelor's degree","X.52.500.to..54.999",546
"214","Master's degree","X.52.500.to..54.999",351
"215","Professional degree","X.52.500.to..54.999",33
"216","Doctorate degree","X.52.500.to..54.999",41
"217","Less than 9th grade","X.55.000.to..57.499",43
"218","9th to 12th grade, no diploma","X.55.000.to..57.499",94
"219","High school graduate (includes equivalency)","X.55.000.to..57.499",797
"220","Some college, no degree","X.55.000.to..57.499",598
"221","Associate degree","X.55.000.to..57.499",496
"222","Bachelor's degree","X.55.000.to..57.499",1124
"223","Master's degree","X.55.000.to..57.499",518
"224","Professional degree","X.55.000.to..57.499",73
"225","Doctorate degree","X.55.000.to..57.499",93
"226","Less than 9th grade","X.57.500.to..59.999",11
"227","9th to 12th grade, no diploma","X.57.500.to..59.999",38
"228","High school graduate (includes equivalency)","X.57.500.to..59.999",375
"229","Some college, no degree","X.57.500.to..59.999",328
"230","Associate degree","X.57.500.to..59.999",206
"231","Bachelor's degree","X.57.500.to..59.999",549
"232","Master's degree","X.57.500.to..59.999",313
"233","Professional degree","X.57.500.to..59.999",26
"234","Doctorate degree","X.57.500.to..59.999",31
"235","Less than 9th grade","X.60.000.to..62.499",69
"236","9th to 12th grade, no diploma","X.60.000.to..62.499",101
"237","High school graduate (includes equivalency)","X.60.000.to..62.499",984
"238","Some college, no degree","X.60.000.to..62.499",717
"239","Associate degree","X.60.000.to..62.499",530
"240","Bachelor's degree","X.60.000.to..62.499",1363
"241","Master's degree","X.60.000.to..62.499",689
"242","Professional degree","X.60.000.to..62.499",47
"243","Doctorate degree","X.60.000.to..62.499",115
"244","Less than 9th grade","X.62.500.to..64.999",13
"245","9th to 12th grade, no diploma","X.62.500.to..64.999",32
"246","High school graduate (includes equivalency)","X.62.500.to..64.999",373
"247","Some college, no degree","X.62.500.to..64.999",238
"248","Associate degree","X.62.500.to..64.999",162
"249","Bachelor's degree","X.62.500.to..64.999",502
"250","Master's degree","X.62.500.to..64.999",282
"251","Professional degree","X.62.500.to..64.999",44
"252","Doctorate degree","X.62.500.to..64.999",35
"253","Less than 9th grade","X.65.000.to..67.499",28
"254","9th to 12th grade, no diploma","X.65.000.to..67.499",48
"255","High school graduate (includes equivalency)","X.65.000.to..67.499",586
"256","Some college, no degree","X.65.000.to..67.499",401
"257","Associate degree","X.65.000.to..67.499",368
"258","Bachelor's degree","X.65.000.to..67.499",920
"259","Master's degree","X.65.000.to..67.499",493
"260","Professional degree","X.65.000.to..67.499",55
"261","Doctorate degree","X.65.000.to..67.499",70
"262","Less than 9th grade","X.67.500.to..69.999",9
"263","9th to 12th grade, no diploma","X.67.500.to..69.999",22
