"","Age","variable","value"
"188","55 to 59 years","X.32.500.to..34.999",331
"189","60 to 64 years","X.32.500.to..34.999",373
"190","65 to 69 years","X.32.500.to..34.999",355
"191","70 to 74 years","X.32.500.to..34.999",332
"192","75 years and over","X.32.500.to..34.999",486
"193","15 to 24 years","X.35.000.to..37.499",499
"194","25 to 29 years","X.35.000.to..37.499",972
"195","30 to 34 years","X.35.000.to..37.499",858
"196","35 to 39 years","X.35.000.to..37.499",737
"197","40 to 44 years","X.35.000.to..37.499",743
"198","45 to 49 years","X.35.000.to..37.499",697
"199","50 to 54 years","X.35.000.to..37.499",688
"200","55 to 59 years","X.35.000.to..37.499",755
"201","60 to 64 years","X.35.000.to..37.499",655
"202","65 to 69 years","X.35.000.to..37.499",431
"203","70 to 74 years","X.35.000.to..37.499",318
"204","75 years and over","X.35.000.to..37.499",432
"205","15 to 24 years","X.37.500.to..39.999",211
"206","25 to 29 years","X.37.500.to..39.999",430
"207","30 to 34 years","X.37.500.to..39.999",361
"208","35 to 39 years","X.37.500.to..39.999",313
"209","40 to 44 years","X.37.500.to..39.999",368
"210","45 to 49 years","X.37.500.to..39.999",348
"211","50 to 54 years","X.37.500.to..39.999",312
"212","55 to 59 years","X.37.500.to..39.999",359
"213","60 to 64 years","X.37.500.to..39.999",374
"214","65 to 69 years","X.37.500.to..39.999",300
"215","70 to 74 years","X.37.500.to..39.999",245
"216","75 years and over","X.37.500.to..39.999",320
"217","15 to 24 years","X.40.000.to..42.499",449
"218","25 to 29 years","X.40.000.to..42.499",921
"219","30 to 34 years","X.40.000.to..42.499",890
"220","35 to 39 years","X.40.000.to..42.499",832
"221","40 to 44 years","X.40.000.to..42.499",855
"222","45 to 49 years","X.40.000.to..42.499",838
"223","50 to 54 years","X.40.000.to..42.499",874
"224","55 to 59 years","X.40.000.to..42.499",835
"225","60 to 64 years","X.40.000.to..42.499",592
"226","65 to 69 years","X.40.000.to..42.499",389
"227","70 to 74 years","X.40.000.to..42.499",250
"228","75 years and over","X.40.000.to..42.499",317
"229","15 to 24 years","X.42.500.to..44.999",114
"230","25 to 29 years","X.42.500.to..44.999",275
"231","30 to 34 years","X.42.500.to..44.999",338
"232","35 to 39 years","X.42.500.to..44.999",240
"233","40 to 44 years","X.42.500.to..44.999",250
"234","45 to 49 years","X.42.500.to..44.999",314
"235","50 to 54 years","X.42.500.to..44.999",289
"236","55 to 59 years","X.42.500.to..44.999",264
"237","60 to 64 years","X.42.500.to..44.999",254
"238","65 to 69 years","X.42.500.to..44.999",264
"239","70 to 74 years","X.42.500.to..44.999",202
"240","75 years and over","X.42.500.to..44.999",238
"241","15 to 24 years","X.45.000.to..47.499",253
"242","25 to 29 years","X.45.000.to..47.499",579
"243","30 to 34 years","X.45.000.to..47.499",576
"244","35 to 39 years","X.45.000.to..47.499",502
"245","40 to 44 years","X.45.000.to..47.499",542
"246","45 to 49 years","X.45.000.to..47.499",630
"247","50 to 54 years","X.45.000.to..47.499",603
"248","55 to 59 years","X.45.000.to..47.499",532
"249","60 to 64 years","X.45.000.to..47.499",382
"250","65 to 69 years","X.45.000.to..47.499",313
"251","70 to 74 years","X.45.000.to..47.499",194
"252","75 years and over","X.45.000.to..47.499",241
"253","15 to 24 years","X.47.500.to..49.999",61
"254","25 to 29 years","X.47.500.to..49.999",285
"255","30 to 34 years","X.47.500.to..49.999",305
"256","35 to 39 years","X.47.500.to..49.999",348
"257","40 to 44 years","X.47.500.to..49.999",307
"258","45 to 49 years","X.47.500.to..49.999",309
"259","50 to 54 years","X.47.500.to..49.999",300
"260","55 to 59 years","X.47.500.to..49.999",301
"261","60 to 64 years","X.47.500.to..49.999",260
"262","65 to 69 years","X.47.500.to..49.999",250
"263","70 to 74 years","X.47.500.to..49.999",170
"264","75 years and over","X.47.500.to..49.999",218
"265","15 to 24 years","X.50.000.to..52.499",243
"266","25 to 29 years","X.50.000.to..52.499",685
"267","30 to 34 years","X.50.000.to..52.499",791
"268","35 to 39 years","X.50.000.to..52.499",718
"269","40 to 44 years","X.50.000.to..52.499",708
"270","45 to 49 years","X.50.000.to..52.499",756
"271","50 to 54 years","X.50.000.to..52.499",799
"272","55 to 59 years","X.50.000.to..52.499",652
"273","60 to 64 years","X.50.000.to..52.499",491
"274","65 to 69 years","X.50.000.to..52.499",342
"275","70 to 74 years","X.50.000.to..52.499",127
"276","75 years and over","X.50.000.to..52.499",215
"277","15 to 24 years","X.52.500.to..54.999",87
"278","25 to 29 years","X.52.500.to..54.999",230
"279","30 to 34 years","X.52.500.to..54.999",230
"280","35 to 39 years","X.52.500.to..54.999",194
"281","40 to 44 years","X.52.500.to..54.999",236
"282","45 to 49 years","X.52.500.to..54.999",246
"283","50 to 54 years","X.52.500.to..54.999",215
"284","55 to 59 years","X.52.500.to..54.999",290
"285","60 to 64 years","X.52.500.to..54.999",208
"286","65 to 69 years","X.52.500.to..54.999",184
"287","70 to 74 years","X.52.500.to..54.999",132
"288","75 years and over","X.52.500.to..54.999",213
"289","15 to 24 years","X.55.000.to..57.499",132
"290","25 to 29 years","X.55.000.to..57.499",421
"291","30 to 34 years","X.55.000.to..57.499",471
"292","35 to 39 years","X.55.000.to..57.499",437
"293","40 to 44 years","X.55.000.to..57.499",433
"294","45 to 49 years","X.55.000.to..57.499",381
"295","50 to 54 years","X.55.000.to..57.499",436
"296","55 to 59 years","X.55.000.to..57.499",415
"297","60 to 64 years","X.55.000.to..57.499",296
"298","65 to 69 years","X.55.000.to..57.499",202
"299","70 to 74 years","X.55.000.to..57.499",140
"300","75 years and over","X.55.000.to..57.499",203
"301","15 to 24 years","X.57.500.to..59.999",68
"302","25 to 29 years","X.57.500.to..59.999",125
"303","30 to 34 years","X.57.500.to..59.999",221
"304","35 to 39 years","X.57.500.to..59.999",190
"305","40 to 44 years","X.57.500.to..59.999",181
"306","45 to 49 years","X.57.500.to..59.999",188
"307","50 to 54 years","X.57.500.to..59.999",208
"308","55 to 59 years","X.57.500.to..59.999",189
"309","60 to 64 years","X.57.500.to..59.999",153
"310","65 to 69 years","X.57.500.to..59.999",146
"311","70 to 74 years","X.57.500.to..59.999",124
"312","75 years and over","X.57.500.to..59.999",153
"313","15 to 24 years","X.60.000.to..62.499",192
"314","25 to 29 years","X.60.000.to..62.499",411
"315","30 to 34 years","X.60.000.to..62.499",588
"316","35 to 39 years","X.60.000.to..62.499",565
"317","40 to 44 years","X.60.000.to..62.499",580
"318","45 to 49 years","X.60.000.to..62.499",535
"319","50 to 54 years","X.60.000.to..62.499",576
"320","55 to 59 years","X.60.000.to..62.499",499
"321","60 to 64 years","X.60.000.to..62.499",340
"322","65 to 69 years","X.60.000.to..62.499",227
"323","70 to 74 years","X.60.000.to..62.499",154
"324","75 years and over","X.60.000.to..62.499",140
"325","15 to 24 years","X.62.500.to..64.999",26
"326","25 to 29 years","X.62.500.to..64.999",141
"327","30 to 34 years","X.62.500.to..64.999",137
"328","35 to 39 years","X.62.500.to..64.999",181
"329","40 to 44 years","X.62.500.to..64.999",192
"330","45 to 49 years","X.62.500.to..64.999",162
"331","50 to 54 years","X.62.500.to..64.999",166
"332","55 to 59 years","X.62.500.to..64.999",167
